date,meantemp
2017-01-01,15.993428306022466
2017-01-02,14.900462548100109
2017-01-03,16.64935937708634
2017-01-04,18.577033164143483
2017-01-05,15.239657852323239
2017-01-06,15.416681838314028
2017-01-07,19.22037253366965
2017-01-08,17.773807511403163
2017-01-09,15.476980431669917
2017-01-10,17.67804044115423
2017-01-11,15.843076118799855
2017-01-12,16.015443147726742
2017-01-13,17.607818348441803
2017-01-14,13.474324466436617
2017-01-15,14.028040441168624
2017-01-16,16.530292198155223
2017-01-17,15.8061961664108
2017-01-18,18.63734422271267
2017-01-19,16.369792556922178
2017-01-20,15.538224455736497
2017-01-21,21.471120546692667
2017-01-22,18.265261558318965
2017-01-23,19.028861719110363
2017-01-24,16.22130008775008
2017-01-25,18.159022161569105
2017-01-26,19.64662394048168
2017-01-27,17.29978275665982
2017-01-28,20.530157098638245
2017-01-29,18.75447483255177
2017-01-30,19.549355863245307
2017-01-31,19.106321288815543
2017-02-01,24.19128203273469
2017-02-02,20.636722364683425
2017-02-03,18.725286106689968
2017-02-04,22.662788939250625
2017-02-05,18.75300296554468
2017-02-06,21.789408605938714
2017-02-07,17.629332318612132
2017-02-08,19.0692916190173
2017-02-09,22.296377338994883
2017-02-10,23.556579177689937
2017-02-11,22.599373730521535
2017-02-12,22.202331753807588
2017-02-13,22.00841207784797
2017-02-14,19.830566638734172
2017-02-15,21.524913353122088
2017-02-16,22.220315378434407
2017-02-17,25.432828523234292
2017-02-18,24.18281180037586
2017-02-19,20.146486060955947
2017-02-20,24.497725460913486
2017-02-21,23.256384111733738
2017-02-22,22.84969582239693
2017-02-23,25.603883551133066
2017-02-24,26.619521168885704
2017-02-25,26.59707351256868
2017-02-26,23.233069378333486
2017-02-27,24.47007082351881
2017-02-28,25.928013588470844
2017-03-01,27.393568130350914
2017-03-02,24.66112055085809
2017-03-03,25.425142223663517
2017-03-04,23.760781379421573
2017-03-05,23.758029229714765
2017-03-06,27.95248527310698
2017-03-07,29.21690483590271
2017-03-08,26.53739568604287
2017-03-09,28.865472875430065
2017-03-10,27.758670280183765
2017-03-11,25.922149871320723
2017-03-12,28.112171741990277
2017-03-13,30.64244481434787
2017-03-14,27.671710753638504
2017-03-15,31.049641293928897
2017-03-16,22.857854924563874
2017-03-17,29.918141291936287
2017-03-18,28.62542157010466
2017-03-19,28.030303883139062
2017-03-20,28.988831287584276
2017-03-21,25.007163055753967
2017-03-22,28.719948259723207
2017-03-23,30.0505083288642
2017-03-24,32.46906242576622
2017-03-25,28.65372505017837
2017-03-26,28.250269431381763
2017-03-27,29.040733700441546
2017-03-28,32.05204317345725
2017-03-29,31.055732307814942
2017-03-30,29.515700831403976
2017-03-31,31.778747255607243
2017-04-01,31.123358638519086
2017-04-02,33.043484671331264
2017-04-03,29.87907965295326
2017-04-04,30.804852697954903
2017-04-05,30.852951835328604
2017-04-06,28.88712939577116
2017-04-07,32.58339099660703
2017-04-08,32.690252137280126
2017-04-09,32.35535965664776
2017-04-10,32.05294962705502
2017-04-11,29.868373560146964
2017-04-12,32.034815549159546
2017-04-13,32.3676683120792
2017-04-14,31.625533957131978
2017-04-15,33.084508222685685
2017-04-16,34.39217251008926
2017-04-17,37.53343374932372
2017-04-18,34.28720872300881
2017-04-19,34.630145029233134
2017-04-20,34.14314356669775
2017-04-21,30.631484118074482
2017-04-22,34.59298994821661
2017-04-23,34.943469269439575
2017-04-24,39.92648422497057
